n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;1024;1024;estimate;par;0.0171237;0.00570789;0.0114091;0.00477469;0.00119635;0.00437125;0.00106682;
1;1024;1024;estimate;par;0.0165103;0.00526313;0.0112401;0.00469908;0.00117667;0.00434995;0.0010144;
1;1024;1024;estimate;par;0.0163904;0.00522979;0.0111474;0.00465446;0.00115827;0.004348;0.000986638;
1;1024;1024;estimate;par;0.0164337;0.00520191;0.0112185;0.00468251;0.00116441;0.00436797;0.00100359;
1;1024;1024;estimate;par;0.0164969;0.00522626;0.0112645;0.00470606;0.00119403;0.00436938;0.000995057;
4;2048;2048;estimate;par;0.0316855;0.0126994;0.0189787;0.00603217;0.00323738;0.00730681;0.00240232;
4;2048;2048;estimate;par;0.0298981;0.0127877;0.0171051;0.00655503;0.00322909;0.00488115;0.00243979;
4;2048;2048;estimate;par;0.0332872;0.0128806;0.0203997;0.00762188;0.00300025;0.00733363;0.0024439;
4;2048;2048;estimate;par;0.0332351;0.0129803;0.0202401;0.00737409;0.0030367;0.00736768;0.00246162;
4;2048;2048;estimate;par;0.031969;0.0129866;0.018975;0.00594741;0.003275;0.00734468;0.00240788;
16;4096;4096;estimate;par;0.0639857;0.0363247;0.027652;0.00646021;0.00574901;0.00989139;0.00555135;
16;4096;4096;estimate;par;0.0685669;0.0395843;0.0289739;0.00809483;0.00548766;0.00998783;0.00540359;
16;4096;4096;estimate;par;0.0702924;0.0411939;0.0290907;0.00783516;0.00579562;0.0100744;0.00538548;
16;4096;4096;estimate;par;0.0708114;0.0417112;0.0290809;0.0075696;0.00605208;0.010047;0.00541227;
16;4096;4096;estimate;par;0.0685565;0.04054;0.0280069;0.00654367;0.00594024;0.0100354;0.00548757;
64;8192;8192;estimate;par;0.190687;0.138453;0.0522246;0.00986698;0.0136886;0.0147109;0.0139582;
64;8192;8192;estimate;par;0.222721;0.172769;0.0499428;0.00862663;0.0138231;0.0135428;0.0139502;
64;8192;8192;estimate;par;0.225457;0.175498;0.0499488;0.0084354;0.0141725;0.0134601;0.0138808;
64;8192;8192;estimate;par;0.226153;0.175907;0.0502377;0.00842415;0.0142001;0.0136299;0.0139836;
64;8192;8192;estimate;par;0.224264;0.174205;0.0500488;0.00854932;0.0139795;0.0134388;0.0140812;
256;16384;16384;estimate;par;1.06849;0.742567;0.325903;0.101603;0.119405;0.0425519;0.0623432;
256;16384;16384;estimate;par;1.25264;0.9608;0.291827;0.119771;0.0629976;0.0448592;0.0641984;
256;16384;16384;estimate;par;1.24184;0.942168;0.299661;0.126324;0.0625728;0.0469524;0.0638117;
256;16384;16384;estimate;par;1.2529;0.954708;0.298171;0.126439;0.0638753;0.0449596;0.0628965;
256;16384;16384;estimate;par;1.2386;0.947895;0.290695;0.120827;0.0605823;0.0442712;0.0650142;
