n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;1024;1024;estimate;par;0.0211264;0.00647039;0.0146489;0.00458384;0.00219831;0.00440172;0.00346505;
1;1024;1024;estimate;par;0.0197951;0.0053799;0.0144095;0.00460478;0.00212073;0.0043488;0.00333516;
1;1024;1024;estimate;par;0.0187628;0.00523236;0.0135243;0.00462574;0.00204172;0.00439868;0.00245818;
1;1024;1024;estimate;par;0.0173472;0.00511046;0.0122151;0.00459547;0.0019153;0.00441371;0.00129058;
1;1024;1024;estimate;par;0.0181279;0.00607731;0.0120442;0.00462371;0.00182284;0.00428263;0.00131502;
4;2048;2048;estimate;par;0.0362883;0.0150399;0.0212431;0.00640411;0.00305526;0.0074516;0.00433209;
4;2048;2048;estimate;par;0.0360354;0.0141977;0.0218231;0.00756217;0.00259994;0.00725506;0.00440596;
4;2048;2048;estimate;par;0.0334667;0.0125724;0.0208893;0.00593785;0.00299561;0.00735971;0.00459617;
4;2048;2048;estimate;par;0.0345855;0.012465;0.022103;0.00713109;0.00325092;0.00715881;0.00456215;
4;2048;2048;estimate;par;0.0353484;0.012399;0.0229328;0.0073376;0.00359741;0.00729113;0.00470667;
16;4096;4096;estimate;par;0.0827368;0.0501049;0.0326111;0.0110705;0.00462411;0.0100231;0.00689346;
16;4096;4096;estimate;par;0.0695532;0.0409463;0.0285985;0.00739193;0.00460318;0.00990629;0.00669713;
16;4096;4096;estimate;par;0.0688384;0.0408873;0.0279438;0.006395;0.00466636;0.00999033;0.00689209;
16;4096;4096;estimate;par;0.0705133;0.0410141;0.029493;0.00776914;0.00469412;0.0100589;0.00697091;
16;4096;4096;estimate;par;0.0690935;0.0408428;0.0282425;0.00698006;0.00450334;0.0100004;0.00675876;
64;8192;8192;estimate;par;0.246398;0.188809;0.0575803;0.00981553;0.0201341;0.0132716;0.0143591;
64;8192;8192;estimate;par;0.213133;0.154744;0.0583801;0.0100515;0.0197947;0.0131415;0.0153925;
64;8192;8192;estimate;par;0.213371;0.158764;0.0545986;0.0083744;0.0201633;0.0117199;0.014341;
64;8192;8192;estimate;par;0.215343;0.159496;0.0558398;0.00838426;0.0200455;0.0132281;0.0141819;
64;8192;8192;estimate;par;0.212764;0.157653;0.0550814;0.008227;0.0181709;0.0133393;0.0153442;
256;16384;16384;estimate;par;1.04931;0.720783;0.328519;0.11134;0.0851078;0.0395731;0.0924978;
256;16384;16384;estimate;par;1.09486;0.781815;0.313037;0.123174;0.080263;0.0401194;0.0694807;
256;16384;16384;estimate;par;1.06651;0.771828;0.294669;0.10258;0.0801813;0.0398955;0.0720119;
256;16384;16384;estimate;par;1.07328;0.763596;0.309658;0.115261;0.083078;0.0399568;0.0713624;
256;16384;16384;estimate;par;1.10077;0.781312;0.319431;0.115297;0.0840283;0.0510241;0.0690813;
