n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
1;1024;1024;estimate;all_to_all;0.23085;0.0102471;0.220603;
1;1024;1024;estimate;all_to_all;0.23085;0.0102471;0.220603;
1;1024;1024;estimate;all_to_all;0.23085;0.0102471;0.220603;
1;1024;1024;estimate;all_to_all;0.23085;0.0102471;0.220603;
1;1024;1024;estimate;all_to_all;0.23085;0.0102471;0.220603;
4;2048;2048;estimate;all_to_all;0.490946;0.0319381;0.459008;
4;2048;2048;estimate;all_to_all;0.486415;0.0297777;0.456638;
4;2048;2048;estimate;all_to_all;0.489655;0.0294991;0.460155;
4;2048;2048;estimate;all_to_all;0.487013;0.0293939;0.457619;
4;2048;2048;estimate;all_to_all;0.494707;0.029237;0.46547;
16;4096;4096;estimate;all_to_all;1.07015;0.0966087;0.973545;
16;4096;4096;estimate;all_to_all;1.10534;0.10813;0.997211;
16;4096;4096;estimate;all_to_all;1.09256;0.101839;0.990724;
16;4096;4096;estimate;all_to_all;1.08726;0.103962;0.983294;
16;4096;4096;estimate;all_to_all;1.0739;0.103416;0.970484;
64;8192;8192;estimate;all_to_all;2.49033;0.413196;2.07714;
64;8192;8192;estimate;all_to_all;2.53161;0.438368;2.09324;
64;8192;8192;estimate;all_to_all;2.46606;0.415145;2.05092;
64;8192;8192;estimate;all_to_all;2.54016;0.432344;2.10782;
64;8192;8192;estimate;all_to_all;2.54574;0.439607;2.10613;
256;16384;16384;estimate;all_to_all;15.4481;2.19599;13.2521;
256;16384;16384;estimate;all_to_all;13.4981;2.23159;11.2665;
256;16384;16384;estimate;all_to_all;13.8199;2.16432;11.6556;
256;16384;16384;estimate;all_to_all;15.331;2.35927;12.9718;
256;16384;16384;estimate;all_to_all;16.3004;2.23097;14.0695;
