n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;1024;1024;estimate;par;0.0224381;0.00545646;0.0169648;0.00499359;0.00264894;0.00441129;0.00491099;
1;1024;1024;estimate;par;0.0163422;0.00503531;0.0112908;0.00448832;0.00134415;0.00427099;0.00118731;
1;1024;1024;estimate;par;0.0163203;0.00558673;0.0107283;0.00449813;0.000863485;0.00436825;0.000998468;
1;1024;1024;estimate;par;0.0168176;0.00610045;0.0107109;0.00449945;0.000784543;0.00433117;0.0010957;
1;1024;1024;estimate;par;0.0156181;0.00488356;0.0107287;0.00447668;0.000825123;0.00436353;0.00106337;
4;2048;2048;estimate;par;0.0345719;0.0118111;0.0227455;0.00647689;0.00503712;0.00714702;0.0040845;
4;2048;2048;estimate;par;0.0346942;0.0126176;0.0220699;0.00801321;0.00362053;0.00736748;0.00306864;
4;2048;2048;estimate;par;0.0335852;0.0125722;0.0209958;0.00543173;0.00399529;0.00749947;0.00406928;
4;2048;2048;estimate;par;0.0353574;0.0125763;0.0227653;0.00752385;0.00393471;0.00740234;0.0039044;
4;2048;2048;estimate;par;0.0351252;0.0125653;0.0225417;0.00711526;0.00386498;0.00765153;0.00390988;
16;4096;4096;estimate;par;0.0778106;0.0456443;0.0321568;0.00807575;0.0075437;0.0098153;0.00672205;
16;4096;4096;estimate;par;0.0719332;0.0415935;0.0303166;0.00764476;0.00702861;0.00876454;0.00687873;
16;4096;4096;estimate;par;0.071414;0.0415969;0.0298093;0.00740783;0.00688259;0.00857517;0.00694371;
16;4096;4096;estimate;par;0.0729337;0.0416728;0.0312543;0.00765342;0.00687759;0.010081;0.00664235;
16;4096;4096;estimate;par;0.0727284;0.0416434;0.0310771;0.00743908;0.00702256;0.00987226;0.00674315;
64;8192;8192;estimate;par;0.225529;0.174388;0.0511342;0.00871085;0.0151971;0.0129194;0.0143069;
64;8192;8192;estimate;par;0.212067;0.160823;0.0512364;0.00826311;0.01494;0.0132128;0.0148204;
64;8192;8192;estimate;par;0.207873;0.157483;0.0503822;0.00844811;0.0146191;0.0133633;0.0139516;
64;8192;8192;estimate;par;0.210394;0.159694;0.0506751;0.00823387;0.0148201;0.0134145;0.0142067;
64;8192;8192;estimate;par;0.211763;0.159979;0.0517565;0.00835602;0.01478;0.0132628;0.0153577;
256;16384;16384;estimate;par;1.10606;0.761893;0.34414;0.0969818;0.138082;0.0390699;0.0700069;
256;16384;16384;estimate;par;1.08513;0.773876;0.311243;0.128142;0.0738708;0.0410495;0.0681804;
256;16384;16384;estimate;par;1.12255;0.767023;0.3555;0.117594;0.127425;0.0411754;0.0693049;
256;16384;16384;estimate;par;1.0943;0.773926;0.320365;0.123149;0.0763789;0.0514641;0.0693734;
256;16384;16384;estimate;par;1.08712;0.745891;0.341208;0.0979884;0.132187;0.0395811;0.071452;
