n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;1024;1024;estimate;0.119517;0.00547799;0.114039;
1;1024;1024;estimate;0.119136;0.00556103;0.113575;
1;1024;1024;estimate;0.119958;0.00658986;0.113369;
1;1024;1024;estimate;0.11982;0.0055294;0.11429;
1;1024;1024;estimate;0.119614;0.00555051;0.114063;
4;2048;2048;estimate;0.282937;0.0132658;0.269671;
4;2048;2048;estimate;0.284298;0.0134541;0.270844;
4;2048;2048;estimate;0.282572;0.0135079;0.269064;
4;2048;2048;estimate;0.280656;0.0135975;0.267059;
4;2048;2048;estimate;0.285408;0.013636;0.271772;
16;4096;4096;estimate;0.546711;0.0389455;0.507766;
16;4096;4096;estimate;0.554955;0.0391392;0.515816;
16;4096;4096;estimate;0.556572;0.0392992;0.517272;
16;4096;4096;estimate;0.558143;0.0398492;0.518294;
16;4096;4096;estimate;0.557855;0.0409918;0.516863;
64;8192;8192;estimate;1.18493;0.144043;1.04089;
64;8192;8192;estimate;1.20311;0.161022;1.04208;
64;8192;8192;estimate;1.17653;0.159349;1.01718;
64;8192;8192;estimate;1.16804;0.158989;1.00905;
64;8192;8192;estimate;1.16157;0.157223;1.00435;
256;16384;16384;estimate;3.56839;0.763606;2.80479;
256;16384;16384;estimate;6.6881;0.791277;5.89683;
256;16384;16384;estimate;5.99963;0.792177;5.20745;
256;16384;16384;estimate;3.51182;0.791895;2.71992;
256;16384;16384;estimate;3.53425;0.815031;2.71922;
